source_record_id,source_record_exact_bytes_sha256,draft_id,task_id,prompt_family_id,split,source_role,positive_skill_id,positive_skill_name,skill_id,skill_name,skill_category,skill_description,query_text,prompt_text_sha256,status,decision,reviewer,reason
rv2v4-train-accessibility-tree-inspection-01:positive:accessibility-tree-inspection,994a335387a8a8d09b118c7f11a24cd829d5c94d4119764e3b8bbfa8b47f44e2,rv2v4-train-accessibility-tree-inspection-01,rv2v4-train-accessibility-tree-inspection-01,family-train-accessibility-tree-inspection-01,train,POSITIVE,accessibility-tree-inspection,Accessibility Tree Inspection,accessibility-tree-inspection,Accessibility Tree Inspection,browser-gui,"Inspect accessible names, roles, and tree structure to drive or audit browser UI behavior.",Audit the checkout modal accessibility tree and report controls whose roles or accessible names do not match their visible purpose.,502d359a1f0a35252483e1bfe146455d789b204d530c2b7ac32139c2304a4d98,PENDING_REVIEW,,,
rv2v4-train-accessibility-tree-inspection-01:hard-negative-candidate:browser-smoke-testing,b3562b94463717b49561ca2241b6cf44d3be60c62a6cf1231f957b07d47ac4c0,rv2v4-train-accessibility-tree-inspection-01,rv2v4-train-accessibility-tree-inspection-01,family-train-accessibility-tree-inspection-01,train,HARD_NEGATIVE_CANDIDATE,accessibility-tree-inspection,Accessibility Tree Inspection,browser-smoke-testing,Browser Smoke Testing,browser-gui,Open a local web target and verify that the main page renders and core controls respond.,Audit the checkout modal accessibility tree and report controls whose roles or accessible names do not match their visible purpose.,502d359a1f0a35252483e1bfe146455d789b204d530c2b7ac32139c2304a4d98,PENDING_REVIEW,,,
rv2v4-train-accessibility-tree-inspection-02:positive:accessibility-tree-inspection,85c21f0f07619aa28eb8db652dddd0b8be00b5a61e0888a1d1be15ac6d926274,rv2v4-train-accessibility-tree-inspection-02,rv2v4-train-accessibility-tree-inspection-02,family-train-accessibility-tree-inspection-02,train,POSITIVE,accessibility-tree-inspection,Accessibility Tree Inspection,accessibility-tree-inspection,Accessibility Tree Inspection,browser-gui,"Inspect accessible names, roles, and tree structure to drive or audit browser UI behavior.",Inspect the navigation menu semantics after keyboard expansion and identify any hidden links that remain exposed to assistive technology.,21028935fa8e0495073e5b0c5501d2f861a915c41b39cebb849be07ff23b6091,PENDING_REVIEW,,,
rv2v4-train-accessibility-tree-inspection-02:hard-negative-candidate:form-interaction-flow,4aeec409b4470471081516dddb60059a1a5d9b9da93365203b343f015f81acd5,rv2v4-train-accessibility-tree-inspection-02,rv2v4-train-accessibility-tree-inspection-02,family-train-accessibility-tree-inspection-02,train,HARD_NEGATIVE_CANDIDATE,accessibility-tree-inspection,Accessibility Tree Inspection,form-interaction-flow,Form Interaction Flow,browser-gui,Drive browser forms and controls through realistic user interactions.,Inspect the navigation menu semantics after keyboard expansion and identify any hidden links that remain exposed to assistive technology.,21028935fa8e0495073e5b0c5501d2f861a915c41b39cebb849be07ff23b6091,PENDING_REVIEW,,,
rv2v4-train-accessibility-tree-inspection-03:positive:accessibility-tree-inspection,918fc8fbb30bc3a8702730f196c5da9cf522660662c77d9ca34c9ca37a709c32,rv2v4-train-accessibility-tree-inspection-03,rv2v4-train-accessibility-tree-inspection-03,family-train-accessibility-tree-inspection-03,train,POSITIVE,accessibility-tree-inspection,Accessibility Tree Inspection,accessibility-tree-inspection,Accessibility Tree Inspection,browser-gui,"Inspect accessible names, roles, and tree structure to drive or audit browser UI behavior.",Use the browser accessibility nodes to verify icon-only button names and the heading hierarchy on the account settings page.,754defe4e32a010f99a5af5e72b144e23bca614252ff177d35e929648df48f4c,PENDING_REVIEW,,,
rv2v4-train-accessibility-tree-inspection-03:hard-negative-candidate:visual-regression-review,7ed55d9241c676916037255379cf9b6e03149ff538e30ced2e4f99171e403d83,rv2v4-train-accessibility-tree-inspection-03,rv2v4-train-accessibility-tree-inspection-03,family-train-accessibility-tree-inspection-03,train,HARD_NEGATIVE_CANDIDATE,accessibility-tree-inspection,Accessibility Tree Inspection,visual-regression-review,Visual Regression Review,browser-gui,"Compare browser-rendered UI state against expected layout, content, and responsive behavior.",Use the browser accessibility nodes to verify icon-only button names and the heading hierarchy on the account settings page.,754defe4e32a010f99a5af5e72b144e23bca614252ff177d35e929648df48f4c,PENDING_REVIEW,,,
rv2v4-train-accessibility-tree-inspection-04:positive:accessibility-tree-inspection,2c08ddae373a2861d198119f01b23e96179353146ac64d70e3afaffcd635452e,rv2v4-train-accessibility-tree-inspection-04,rv2v4-train-accessibility-tree-inspection-04,family-train-accessibility-tree-inspection-04,train,POSITIVE,accessibility-tree-inspection,Accessibility Tree Inspection,accessibility-tree-inspection,Accessibility Tree Inspection,browser-gui,"Inspect accessible names, roles, and tree structure to drive or audit browser UI behavior.","Compare semantic nodes before and after an invalid email submission, then trace whether the error is announced through a live region.",ac2bd0b80af15944157db0789d08a3709542fa63c900c78b85101773721bfea3,PENDING_REVIEW,,,
rv2v4-train-accessibility-tree-inspection-04:hard-negative-candidate:browser-smoke-testing,2a016a0bfb8962261d6f2cc33572cfcb041e1be8e13a4426f32664e955541579,rv2v4-train-accessibility-tree-inspection-04,rv2v4-train-accessibility-tree-inspection-04,family-train-accessibility-tree-inspection-04,train,HARD_NEGATIVE_CANDIDATE,accessibility-tree-inspection,Accessibility Tree Inspection,browser-smoke-testing,Browser Smoke Testing,browser-gui,Open a local web target and verify that the main page renders and core controls respond.,"Compare semantic nodes before and after an invalid email submission, then trace whether the error is announced through a live region.",ac2bd0b80af15944157db0789d08a3709542fa63c900c78b85101773721bfea3,PENDING_REVIEW,,,
rv2v4-train-apply-patch-discipline-01:positive:apply-patch-discipline,403e92000a2a1d18253e7ebd34a5cad5c8eac7bd96d10714cec409b197708572,rv2v4-train-apply-patch-discipline-01,rv2v4-train-apply-patch-discipline-01,family-train-apply-patch-discipline-01,train,POSITIVE,apply-patch-discipline,Apply Patch Discipline,apply-patch-discipline,Apply Patch Discipline,codex,"Make small, reviewable file edits with patch-style changes and avoid unrelated rewrites.",Change three validator lines with a focused patch and avoid reformatting the neighboring module or touching unrelated helpers.,33e9101adcfc01d3bdbf1b8e528ccb809bae407c27041834c80cfa794faa44e1,PENDING_REVIEW,,,
rv2v4-train-apply-patch-discipline-01:hard-negative-candidate:evidence-backed-final,78f2de1ccec79a35a70d68f2fb2df954ea283537b5bdc62b30693ebc8fd9c945,rv2v4-train-apply-patch-discipline-01,rv2v4-train-apply-patch-discipline-01,family-train-apply-patch-discipline-01,train,HARD_NEGATIVE_CANDIDATE,apply-patch-discipline,Apply Patch Discipline,evidence-backed-final,Evidence Backed Final Response,codex,"Summarize completed engineering work with changed files, exact validation, and known risks.",Change three validator lines with a focused patch and avoid reformatting the neighboring module or touching unrelated helpers.,33e9101adcfc01d3bdbf1b8e528ccb809bae407c27041834c80cfa794faa44e1,PENDING_REVIEW,,,
